Breviolum614565_c0_g1_i1	Breviolum614565	OG0000007
Breviolum71264_c0_g1_i1	Breviolum71264	OG0001025
Breviolum425170_c0_g1_i1	Breviolum425170	OG0005374
Breviolum393624_c9_g1_i1	Breviolum393624	OG0004793
Breviolum688183_c0_g1_i1	Breviolum688183	OG0009434
Breviolum571727_c0_g1_i1	Breviolum571727	OG0000110
Breviolum251642_c1_g2_i1	Breviolum251642	OG0002263
Breviolum168993_c0_g2_i1	Breviolum168993	OG0008389
Breviolum249812_c0_g2_i1	Breviolum249812	OG0003437
Breviolum56691_c0_g1_i1	Breviolum56691	OG0002145
Breviolum292468_c0_g2_i1	Breviolum292468	OG0006748
Breviolum905895_c0_g1_i1	Breviolum905895	OG0001203
Breviolum442996_c6_g1_i1	Breviolum442996	OG0000293
Breviolum217511_c1_g1_i1	Breviolum217511	OG0000895
Breviolum322921_c0_g2_i1	Breviolum322921	OG0001692
Breviolum546089_c0_g1_i1	Breviolum546089	OG0000434
Breviolum329294_c0_g2_i1	Breviolum329294	OG0002308
Breviolum769728_c0_g1_i1	Breviolum769728	OG0002778
Breviolum235183_c0_g1_i1	Breviolum235183	OG0006702
Breviolum842354_c0_g1_i1	Breviolum842354	OG0000264
Breviolum684738_c0_g1_i1	Breviolum684738	OG0004470
Breviolum467807_c0_g1_i1	Breviolum467807	OG0001198
Breviolum660494_c0_g1_i1	Breviolum660494	OG0002235
Breviolum217910_c0_g2_i1	Breviolum217910	OG0000887
Breviolum58660_c0_g2_i1	Breviolum58660	OG0001981
Breviolum187607_c0_g2_i1	Breviolum187607	OG0000670
Breviolum6765_c0_g2_i1	Breviolum6765	OG0004420
Breviolum850898_c0_g1_i1	Breviolum850898	OG0003547
Breviolum526609_c0_g1_i1	Breviolum526609	OG0002682
Breviolum314948_c2_g1_i1	Breviolum314948	OG0001026
Breviolum161461_c0_g2_i1	Breviolum161461	OG0007771
Breviolum19463_c0_g2_i1	Breviolum19463	OG0000460
Breviolum882696_c0_g1_i1	Breviolum882696	OG0000148
Breviolum282649_c0_g2_i2	Breviolum282649	OG0006779
Breviolum159352_c0_g1_i1	Breviolum159352	OG0006737
Breviolum323761_c0_g2_i1	Breviolum323761	OG0000572
Breviolum64634_c0_g1_i1	Breviolum64634	OG0000944
Breviolum39876_c1_g1_i1	Breviolum39876	OG0000004
Breviolum609007_c0_g1_i1	Breviolum609007	OG0000190
Breviolum132931_c1_g1_i1	Breviolum132931	OG0001251
Breviolum37856_c0_g1_i1	Breviolum37856	OG0009090
Breviolum422768_c3_g1_i1	Breviolum422768	OG0004360
Breviolum370311_c1_g1_i1	Breviolum370311	OG0000558
Breviolum676843_c0_g1_i1	Breviolum676843	OG0001884
Breviolum98880_c0_g2_i1	Breviolum98880	OG0000860
Breviolum404817_c0_g2_i1	Breviolum404817	OG0001212
Breviolum166378_c0_g2_i1	Breviolum166378	OG0000350
Breviolum5511_c0_g1_i1	Breviolum5511	OG0002156
